[18:26:35] [CONTEXT]	 dot_veille.xml = True
[18:26:35] [CONTEXT]	 meteo2.xml = True
[18:26:35] [GRAMMAR]	 File: Load Grammar to Engine
[18:26:35] [GRAMMAR]	 File: Load: time.xml Enabled: True
[18:26:35] [GRAMMAR]	 File: Load Grammar to Engine
[18:26:35] [GRAMMAR]	 File: Load: dictionary.xml Enabled: True
[18:26:35] [GRAMMAR]	 File: Load Grammar to Engine
[18:26:35] [GRAMMAR]	 File: Load: dot_histoire.xml Enabled: True
[18:26:35] [GRAMMAR]	 File: Load Grammar to Engine
[18:26:35] [GRAMMAR]	 File: Load: dot_itineraire.xml Enabled: True
[18:26:35] [GRAMMAR]	 File: Load Grammar to Engine
[18:26:35] [GRAMMAR]	 File: Load: dot_meteo.xml Enabled: True
[18:26:35] [GRAMMAR]	 File: Load Grammar to Engine
[18:26:35] [GRAMMAR]	 File: Error file: dot_text_to_speech.xml: Règle racine 'ruleDot_veille' non définie. [Ligne=8, Position=11]
[18:26:35] [GRAMMAR]	 File: Error file: dot_text_to_speech.xml: Règle racine 'ruleDot_veille' non définie. [Ligne=8, Position=11]
[18:26:35] [GRAMMAR]	 File: Load Grammar to Engine
[18:26:35] [GRAMMAR]	 File: Load: dot_veille.xml Enabled: True
[18:26:35] [GRAMMAR]	 File: Load Grammar to Engine
[18:26:35] [GRAMMAR]	 File: Load: meteo2.xml Enabled: True
[18:26:35] [ENGINE - File]	 Init recognizer
[18:26:35] [ENGINE - File]	 AudioLevel: 0
[18:26:35] [ENGINE - File]	 MaxAlternates: 1
[18:26:35] [ENGINE - File]	 BabbleTimeout: 00:00:05
[18:26:35] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[18:26:35] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[18:26:35] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[18:26:36] [KINECT_0]	 AutomaticGainControlEnabled : False
[18:26:36] [KINECT_0]	 BeamAngle : 0
[18:26:36] [KINECT_0]	 EchoCancellationMode : CancellationAndSuppression
[18:26:36] [KINECT_0]	 EchoCancellationSpeakerIndex : 1
[18:26:36] [KINECT_0]	 NoiseSuppression : True
[18:26:36] [KINECT_0]	 SoundSourceAngle : 0
[18:26:36] [KINECT_0]	 SoundSourceAngleConfidence : 0
[18:26:36] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:26:36] [GRAMMAR]	 KINECT_0: Load: time.xml Enabled: True
[18:26:36] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:26:36] [GRAMMAR]	 KINECT_0: Load: dictionary.xml Enabled: True
[18:26:36] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:26:36] [GRAMMAR]	 KINECT_0: Load: dot_histoire.xml Enabled: True
[18:26:36] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:26:36] [GRAMMAR]	 KINECT_0: Load: dot_itineraire.xml Enabled: True
[18:26:36] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:26:36] [GRAMMAR]	 KINECT_0: Load: dot_meteo.xml Enabled: True
[18:26:36] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:26:36] [GRAMMAR]	 KINECT_0: Error file: dot_text_to_speech.xml: Règle racine 'ruleDot_veille' non définie. [Ligne=8, Position=11]
[18:26:36] [GRAMMAR]	 KINECT_0: Error file: dot_text_to_speech.xml: Règle racine 'ruleDot_veille' non définie. [Ligne=8, Position=11]
[18:26:36] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:26:36] [GRAMMAR]	 KINECT_0: Load: dot_veille.xml Enabled: True
[18:26:36] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:26:36] [GRAMMAR]	 KINECT_0: Load: meteo2.xml Enabled: True
[18:26:36] [ENGINE - KINECT_0]	 Init recognizer
[18:26:36] [ENGINE - KINECT_0]	 AudioLevel: 0
[18:26:36] [ENGINE - KINECT_0]	 MaxAlternates: 1
[18:26:36] [ENGINE - KINECT_0]	 BabbleTimeout: 00:00:05
[18:26:36] [ENGINE - KINECT_0]	 InitialSilenceTimeout: 00:00:00
[18:26:36] [ENGINE - KINECT_0]	 EndSilenceTimeout: 00:00:00.1500000
[18:26:36] [ENGINE - KINECT_0]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[18:26:36] [ENGINE - KINECT_0]	 Start listening
[18:26:36] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Cirrus Logic CS4 Channels: 2 Playback: True
[18:26:36] [ENGINE - KINECT_0]	 AudioStateChanged (26:36.5):Silence
[18:26:36] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[18:26:36] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[18:26:36] [ENGINE]	 Restart timeout: 3600000
[18:26:41] [HTTP]	 Request received: http://127.0.0.1:8888/?tts=Bienvenue%20a%20ITNOVEM
[18:26:41] [TTS]	 Try speaking ... Bienvenue a ITNOVEM
[18:26:41] [TTS]	 [0] Say: Bienvenue a ITNOVEM
[18:26:41] [ENGINE - KINECT_0]	 AudioStateChanged (26:41.6):Speech
[18:26:41] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:26:41] [PLAYER]	 [0]Start Player
[18:26:42] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,4707641
[18:26:42] [ENGINE - KINECT_0]	 AudioStateChanged (26:42.6):Silence
[18:26:43] [CAMERA]	 Storing camera: Kinect_0
[18:26:44] [PLAYER]	 [0]End Player
[18:26:44] [PLAYER]	 [0]speaking false
[18:26:44] [TTS]	 End speaking
[18:26:49] [ENGINE - KINECT_0]	 AudioStateChanged (26:49.3):Speech
[18:26:49] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:26:49] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH comment => 0,127167
[18:26:49] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce => 0,1026503
[18:26:49] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,3289727
[18:26:50] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH tu => 0,2053393
